"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 02:32:09 CET 2024","Mon Jan 22 02:32:09 CET 2024","215","tests","Negative ID tests","TestRMAid","","","test_invalid_character_id[-1-Character not found]","Verifies character information retrieval by ID for negative scenarios."
"passed","Mon Jan 22 02:32:09 CET 2024","Mon Jan 22 02:32:09 CET 2024","184","tests","Positive location tests","TestRMALocation","","","test_location_info[Earth (5-126)]","This tests fetches location information by location names and compares it with the expected data."
"passed","Mon Jan 22 02:32:09 CET 2024","Mon Jan 22 02:32:09 CET 2024","177","tests","Positive ID tests","TestRMAid","","","test_id_info[AntennaMorty]","Verifies character information retrieval by ID for positive scenarios."
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","199","tests","Positive ID tests","TestRMAid","","","test_id_info[AbradolfLincler]","Verifies character information retrieval by ID for positive scenarios."
"passed","Mon Jan 22 02:32:05 CET 2024","Mon Jan 22 02:32:06 CET 2024","201","tests","Positive episode tests","TestRMEpisode","","","test_episode_info[Anatomy Park]","Verifies episode information retrieval by episode id"
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:07 CET 2024","190","tests","Positive ID tests","TestRMAid","","","test_id_info[AdjudicatorRick]","Verifies character information retrieval by ID for positive scenarios."
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","175","tests","Positive location tests","TestRMALocation","","","test_location_info[Citadel of Ricks]","This tests fetches location information by location names and compares it with the expected data."
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","204","tests","Positive episode tests","TestRMEpisode","","","test_episode_info[Rick Potion #9]","Verifies episode information retrieval by episode id"
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","207","tests","Positive episode tests","TestRMEpisode","","","test_episode_info[Raising Gazorpazorp]","Verifies episode information retrieval by episode id"
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","191","tests","Positive episode tests","TestRMEpisode","","","test_episode_info[M. Night Shaym-Aliens!]","Verifies episode information retrieval by episode id"
"passed","Mon Jan 22 02:32:08 CET 2024","Mon Jan 22 02:32:08 CET 2024","222","tests","Positive episode tests","TestRMEpisode","","","test_episode_info[Get Schwifty]","Verifies episode information retrieval by episode id"
"passed","Mon Jan 22 02:32:07 CET 2024","Mon Jan 22 02:32:07 CET 2024","183","tests","Positive location tests","TestRMALocation","","","test_location_info[Post-Apocalyptic Earth]","This tests fetches location information by location names and compares it with the expected data."
"passed","Mon Jan 22 02:32:09 CET 2024","Mon Jan 22 02:32:09 CET 2024","215","tests","Positive location tests","TestRMALocation","","","test_location_info[Mr. Goldenfold's dream]","This tests fetches location information by location names and compares it with the expected data."
"passed","Mon Jan 22 02:32:08 CET 2024","Mon Jan 22 02:32:08 CET 2024","267","tests","Positive ID tests","TestRMAid","","","test_id_info[AlienRick]","Verifies character information retrieval by ID for positive scenarios."
"passed","Mon Jan 22 02:32:06 CET 2024","Mon Jan 22 02:32:06 CET 2024","174","tests","Positive ID tests","TestRMAid","","","test_id_info[SummerSmith]","Verifies character information retrieval by ID for positive scenarios."
